"chunk_syntagm_id","chunk_id","keyword","syntagmid","createduser","createddate","updateduser","updateddate","deleteduser","deleteddate","isdeleted"
"84","2561","air","7","admin","25/11/2025 15:44:17.661766",,,,,"f"
"85","2570","air","7","admin","25/11/2025 15:44:17.661766",,,,,"f"
"86","2575","air","2","admin","25/11/2025 15:44:17.661766",,,,,"f"
"87","2581","air","2","admin","25/11/2025 15:44:17.661766",,,,,"f"
"88","12157","air","17","admin","25/11/2025 15:44:17.661766",,,,,"f"
"89","11670","air","17","admin","25/11/2025 15:44:17.661766",,,,,"f"
"90","12346","air","17","admin","25/11/2025 15:44:17.661766",,,,,"f"
"91","11671","air","2","admin","25/11/2025 15:44:17.661766",,,,,"f"
"92","10496","air","17","admin","25/11/2025 15:44:17.661766",,,,,"f"
"93","2626","air","2","admin","25/11/2025 15:44:17.661766",,,,,"f"
"94","7564","air","2","admin","25/11/2025 15:44:17.661766",,,,,"f"
"95","2864","air","27","admin","25/11/2025 15:44:17.661766",,,,,"f"
"96","12615","air","2","admin","25/11/2025 15:44:17.661766",,,,,"f"
"97","12834","air","17","admin","25/11/2025 15:44:17.661766",,,,,"f"
"98","10508","air","17","admin","25/11/2025 15:44:17.661766",,,,,"f"
"99","10510","air","2","admin","25/11/2025 15:44:17.661766",,,,,"f"
"100","3043","air","2","admin","25/11/2025 15:44:17.661766",,,,,"f"
"101","3067","air","2","admin","25/11/2025 15:44:17.661766",,,,,"f"
"102","3069","air","2","admin","25/11/2025 15:44:17.661766",,,,,"f"
"103","418","air","9","admin","25/11/2025 15:44:17.661766",,,,,"f"
"104","450","air","9","admin","25/11/2025 15:44:17.661766",,,,,"f"
"105","3201","air","4","admin","25/11/2025 15:44:17.661766",,,,,"f"
"106","3218","air","4","admin","25/11/2025 15:44:17.661766",,,,,"f"
"107","12061","air","4","admin","25/11/2025 15:44:17.661766",,,,,"f"
"108","7744","air","4","admin","25/11/2025 15:44:17.661766",,,,,"f"
"109","3250","air","4","admin","25/11/2025 15:44:17.661766",,,,,"f"
"110","3277","air","4","admin","25/11/2025 15:44:17.661766",,,,,"f"
"111","3282","air","4","admin","25/11/2025 15:44:17.661766",,,,,"f"
"112","11801","air","4","admin","25/11/2025 15:44:17.661766",,,,,"f"
"113","9233","air","2","admin","25/11/2025 15:44:17.661766",,,,,"f"
"114","12065","air","17","admin","25/11/2025 15:44:17.661766",,,,,"f"
"115","3635","air","17","admin","25/11/2025 15:44:17.661766",,,,,"f"
"116","9261","air","2","admin","25/11/2025 15:44:17.661766",,,,,"f"
"117","3801","air","17","admin","25/11/2025 15:44:17.661766",,,,,"f"
"118","3882","air","2","admin","25/11/2025 15:44:17.661766",,,,,"f"
"119","12648","air","2","admin","25/11/2025 15:44:17.661766",,,,,"f"
